N	T[ms]	dev[ms]	Samples
500000	34451.4	3577.31	100
1000000	33663.5	3138.42	100
1500000	33166.9	3090.73	100
2000000	32927.6	2529.92	100
2500000	32901	2953.79	100
3000000	32514.9	2488.98	100
3500000	32341.9	2266.88	100
4000000	32920.7	2850.1	100
4500000	32870.1	2504.03	100
5000000	33553.8	2931.29	100
N	T[ms]	dev[ms]	Samples
500000	37009.5	5949.93	100
1000000	32456	833.884	100
1500000	32473.2	867.775	100
2000000	33134.9	2085.22	100
2500000	33050.6	2090.02	100
3000000	33501	2925.49	100
3500000	33939.4	2654.29	100
4000000	34677.1	4802.41	100
4500000	33465.7	2979.8	100
5000000	33471.3	2571.3	100
